transporter_density,Vmax,KD,affinity,ontology,name,diffusivity,zdistr,response,genome_size,cell_size,mingt,sav,yield
1.0e-12,0.0,0.00012588504154702762,0.0,Auxins,indole-3-acetic acid,5.936051170554737e-10,0.0,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.10190476190476189
3.54595815965652e-5,0.0037915876447104646,0.00016059605990210716,23.6094686695406,Nucleotides,inosine ,5.035992675118055e-10,0.023255813953488372,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.14266666666666666
0.0019152429211936788,0.12287473911966092,0.000613048154482371,200.4324427392014,Amino acids,isoleucine ,6.637369191376062e-10,0.7325581395348837,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.16666666666666666
1.3818491494903887e-5,0.0017730842585809657,0.00013940782972001446,12.718684898416493,Organic acids,jasmonic acid,5.53216142953108e-10,0.011627906976744186,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.08333333333333333
0.0037213269194177707,0.1591641698441204,0.0010911157274850407,145.8728582448213,Amino acids,L-aspartic acid,6.600097622604758e-10,0.7325581395348837,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.35666666666666663
0.001596035767661399,0.11946155192189256,0.0005734954179844513,208.3042831305261,Amino acids,L-carnitine,6.129777167642586e-10,0.7325581395348837,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.14285714285714285
0.0019815342487895476,0.12712773987173348,0.0007048487961517706,180.3617180958622,Amino acids,L-citrulline,5.936027104485368e-10,0.7325581395348837,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.19454545454545452
0.002512709371828442,0.13433827163228237,0.0008040138520027458,167.08452385198905,Amino acids,L-glutamate ,6.349720515586365e-10,0.7325581395348837,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.23777777777777773
0.002436695828490686,0.1302743205255099,0.0007492074523648034,173.88284128022377,Amino acids,L-hydroxyproline,6.638250265083826e-10,0.7325581395348837,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.21399999999999997
0.002512709371828442,0.13433827163228237,0.0007644821678889871,175.72453259863357,Amino acids,L-pyroglutamic acid,6.678067148348197e-10,0.7325581395348837,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.23777777777777773
0.0011990778800144953,0.11539244974661712,0.00048246496549783234,239.1727026801816,Amino acids,L-tyrosine ,5.859330456913044e-10,0.7325581395348837,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.11263157894736842
7.875824168079938e-5,0.0025264153943511175,0.00011518031991709437,21.93443633573518,Organic acids,lactic acid,7.67368149294822e-10,0.011627906976744186,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.3566666666666666
0.0019152429211936788,0.12287473911966092,0.0006130444743532033,200.43364594273643,Amino acids,leucine,6.637409035754372e-10,0.7325581395348837,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.16666666666666666
8.941376849643692e-6,0.0017209347215638787,0.000154090331581966,11.168349784804336,Fatty acids,linoleic acid,4.950134252963921e-10,0.011627906976744186,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.05555555555555555
0.0019152429211936788,0.12287473911966092,0.000639233590279373,192.22196860142986,Amino acids,lysine,6.365477339219452e-10,0.7325581395348837,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.16666666666666666
5.906868126059954e-5,0.0025264153943511175,0.00012910853006943763,19.56815241403764,Organic acids,malic acid,6.581345385481492e-10,0.011627906976744186,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.35666666666666663
0.00010896301537200199,0.003495327391467854,0.00012899603401394223,27.096394227826185,Organic acids,malonic acid ,7.257926772357822e-10,0.011627906976744186,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.5349999999999999
0.0023940536514920987,0.12799451991631347,0.0007758024902933862,164.98338368043858,Amino acids,methionine ,6.31535566902108e-10,0.7325581395348837,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.2
0.00041674815619551414,0.03564931313549032,0.0002709829467993359,131.5555593315206,Sugars,N-acetyl-D-glucosamine ,5.424922281315939e-10,0.2209302325581395,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.13374999999999998
3.145292458396107e-5,0.0020179006328846583,0.00011787949167589766,17.118335040269354,Organic acids,nicotinic acid,6.801959252356896e-10,0.011627906976744186,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.19454545454545452
0.0023940536514920987,0.12799451991631347,0.0007403011949838923,172.8951956089959,Amino acids,ornithine,6.618209842578482e-10,0.7325581395348837,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.2
1.9000425805492846e-5,0.001828493141661621,0.00014332387062015653,12.757771149703158,Organic acids,pantothenic acid ,5.443713456080735e-10,0.011627906976744186,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.1111111111111111
0.00073487651970354,0.039289080793407746,0.000320901650395177,122.43340208760185,Sugars,arabinose,6.30042943582983e-10,0.2209302325581395,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.21399999999999997
0.00073487651970354,0.039289080793407746,0.000320901650395177,122.43340208760185,Sugars,D-ribose,6.30042943582983e-10,0.2209302325581395,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.21399999999999997
0.00073487651970354,0.039289080793407746,0.00032090173290240024,122.43337060868167,Sugars,xylose,6.300427815922909e-10,0.2209302325581395,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.21399999999999997
0.0011970268257460494,0.11519506792468213,0.00046496614692896913,247.74936559473863,Amino acids,phenylalanine ,6.072193361717809e-10,0.7325581395348837,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.1111111111111111
0.0023940536514920987,0.12799451991631347,0.0007019108975641361,182.35152119805656,Amino acids,proline ,6.980186049422783e-10,0.7325581395348837,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.2
2.563295218278967e-5,0.0019185987620957607,0.00012168123340324793,15.767417114663708,Organic acids,salicylic acid,6.506487559986964e-10,0.011627906976744186,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.15285714285714283
0.005580544642172724,0.17901331456827058,0.0014419856555375889,124.14361674182699,Amino acids,serine ,7.230354859603405e-10,0.7325581395348837,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.42799999999999994
2.563295218278967e-5,0.0019185987620957607,0.00013307039068324666,14.417923869049774,Organic acids,shikimic acid,5.949613789792375e-10,0.011627906976744186,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.15285714285714283
1.5200340644394277e-5,0.001787859960735807,0.00013983001299514074,12.785952904101764,Organic acids,sinapyl alcohol,5.532598182509909e-10,0.011627906976744186,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.09090909090909091
2.533390107399046e-5,0.0018962151098713105,0.00012330307711258998,15.378489769074026,Organic acids,stachyhydrine,6.416699245946998e-10,0.011627906976744186,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.14285714285714285
