Name,Formula,ChEBI,Molecular_weight,Ontology,Uptake_significance,week3_1,week3_2,week3_3,week3_4,week3,week6_1,week6_2,week6_3,week6_4,week6,week9_1,week9_2,week9_3,week9_4,week9,week12_1,week12_2,week12_3,week12_4,week12,week3_rnorm,week6_rnorm,week9_rnorm,week12_rnorm,rsum
L-carnitine,C7H15NO3,17126,161.19894,Amino acids,no,7.96E+07,7.17E+07,6.96E+07,9.15E+07,7.57E+07,1.10E+08,1.14E+08,8.10E+07,1.20E+08,1.12E+08,2.85E+08,2.17E+08,1.41E+08,5.31E+08,2.51E+08,8.89E+07,1.06E+08,1.29E+08,8.53E+07,9.75E+07,1.41E-01,2.09E-01,4.68E-01,1.82E-01,1
L-citrulline,C6H13N3O3,16349,175.18584,Amino acids,yes,1.39E+07,1.50E+07,1.04E+07,1.21E+07,1.30E+07,2.92E+07,3.36E+07,1.99E+07,3.31E+07,3.12E+07,8.41E+06,1.26E+07,9.70E+06,4.30E+07,1.12E+07,799000,747000,4.16E+06,1.15E+06,9.75E+05,2.31E-01,5.54E-01,1.98E-01,1.73E-02,1
L-glutamate ,C5H9NO4,16015,147.1293,Amino acids,no,6.54E+08,4.36E+08,5.26E+08,1.87E+08,4.81E+08,2.16E+09,1.19E+09,1.17E+09,1.41E+09,1.30E+09,1.45E+08,5.59E+08,4.88E+08,1.18E+09,5.24E+08,656000,750000,3.06E+07,1.58E+06,1.17E+06,2.09E-01,5.64E-01,2.27E-01,5.05E-04,1
L-hydroxyproline,C5H9NO3,18240,131.1299,Amino acids,yes,1.01E+07,7.98E+06,1.03E+07,1.36E+07,1.02E+07,1.69E+07,1.56E+07,1.48E+07,1.77E+07,1.63E+07,2.07E+07,1.87E+07,1.44E+07,4.08E+07,1.97E+07,1.38E+06,2.15E+06,1.08E+07,4.72E+06,3.44E+06,2.06E-01,3.28E-01,3.97E-01,6.93E-02,1
L-pyroglutamic acid,C5H7NO3,18183,129.114,Amino acids,no,6.79E+07,1.04E+08,1.13E+08,4.49E+07,8.60E+07,3.46E+07,8.19E+07,8.65E+07,9.13E+07,8.42E+07,3.70E+08,1.69E+08,9.17E+07,3.63E+08,2.66E+08,3.49E+06,9.01E+08,9.70E+06,4.44E+07,2.71E+07,1.86E-01,1.82E-01,5.74E-01,5.84E-02,1
L-tyrosine ,C9H11NO3,17895,181.18858,Amino acids,no,1.61E+08,1.24E+08,1.53E+08,1.18E+08,1.39E+08,3.86E+08,4.20E+08,3.40E+08,4.45E+08,4.03E+08,2.35E+08,2.87E+08,3.61E+08,6.47E+08,3.24E+08,2.41E+06,1.60E+06,7.85E+07,7.66E+06,5.04E+06,1.59E-01,4.63E-01,3.72E-01,5.78E-03,1
lactic acid,C3H6O3,422,90.07794,Organic acids,yes,3.55E+08,3.41E+08,3.81E+08,3.10E+08,3.48E+08,1.57E+09,1.13E+09,1.33E+09,1.34E+09,1.34E+09,1.05E+09,1.17E+09,1.50E+09,3.26E+09,1.34E+09,1.77E+07,2.16E+07,4.08E+08,1.38E+08,7.98E+07,1.12E-01,4.31E-01,4.31E-01,2.58E-02,1
leucine,C6H13NO2,25017,131.17296,Amino acids,no,9.00E+08,5.28E+08,5.60E+08,4.91E+08,5.44E+08,1.76E+09,1.84E+09,1.37E+09,1.86E+09,1.80E+09,1.03E+09,1.33E+09,1.89E+09,3.07E+09,1.61E+09,2.01E+07,1.73E+07,2.99E+08,3.73E+07,2.87E+07,1.37E-01,4.52E-01,4.04E-01,7.21E-03,1
linoleic acid,C18H32O2,17351,280.4455,Fatty acids,no,9.39E+06,1.11E+07,9.53E+06,9.51E+06,9.52E+06,3.81E+07,4.28E+07,2.38E+07,5.89E+07,4.05E+07,1.84E+07,1.08E+07,3.16E+07,2.99E+07,2.42E+07,1.10E+07,1.71E+07,3.46E+07,1.34E+07,1.53E+07,1.07E-01,4.53E-01,2.70E-01,1.71E-01,1
lysine,C6H14N2O2,25094,146.18764,Amino acids,no,1.51E+08,9.32E+07,6.44E+07,7.87E+07,8.60E+07,4.07E+08,6.17E+08,3.44E+08,4.52E+08,4.30E+08,3.32E+08,5.11E+08,8.29E+08,1.30E+09,6.70E+08,2.41E+06,2.12E+06,4.37E+07,2.03E+06,2.27E+06,7.24E-02,3.62E-01,5.64E-01,1.91E-03,1
