monomer,ontology,isolate,response,percent_uptake
abscisic acid,Organic acids,Comamonadaceae bacterium URHA0028,positive,0.999999962
abscisic acid,Organic acids,Dongia sp. URHE0060,positive,0.979404877
abscisic acid,Organic acids,Flavobacterium sp. URHB0058,undefined,0.999999972
abscisic acid,Organic acids,Geodermatophilaceae bacterium URHA0031,negative,0.964635356
abscisic acid,Organic acids,Geodermatophilaceae bacterium URHB0048,negative,0.878428465
abscisic acid,Organic acids,Geodermatophilaceae bacterium URHB0062,negative,0.991954379
abscisic acid,Organic acids,Intrasporangiaceae bacterium URHB0013,undefined,0.999798204
abscisic acid,Organic acids,Lysobacter sp. URHA0019,undefined,0.99993104
abscisic acid,Organic acids,Marmoricola sp. URHB0036,undefined,0.76641667
abscisic acid,Organic acids,Mesorhizobium sp. URHA0056,positive,0.999954754
abscisic acid,Organic acids,Mesorhizobium sp. URHB0007,positive,0.995165413
abscisic acid,Organic acids,Mesorhizobium sp. URHC0008,positive,0.655883615
abscisic acid,Organic acids,Microbacterium sp. URHA0036,undefined,0.999838909
abscisic acid,Organic acids,Micromonosporaceae bacterium URHE0070,negative,0.713051176
abscisic acid,Organic acids,Mycobacterium sp. URHB0044,positive,0.906655779
abscisic acid,Organic acids,Mycobacterium sp. URHD0025,positive,0.863440497
abscisic acid,Organic acids,Nocardioides sp. URHA0020,undefined,0.951309715
abscisic acid,Organic acids,Nocardioides sp. URHA0032,undefined,0.444916738
abscisic acid,Organic acids,Paenibacillus sp. URHA0014,negative,0.999999793
abscisic acid,Organic acids,Pseudomonas sp. URHB0015,positive,0.999812613
abscisic acid,Organic acids,Rhodospirillales bacterium URHD0017,positive,1
abscisic acid,Organic acids,Rhodospirillales bacterium URHD0088,undefined,0.999984393
abscisic acid,Organic acids,Solirubrobacter sp. URHD0082,negative,0.873614348
abscisic acid,Organic acids,Solirubrobacterales bacterium URHD0059,negative,0.544265198
abscisic acid,Organic acids,Sphingomonas sp. URHD0007,positive,0.994131807
abscisic acid,Organic acids,Sphingomonas sp. URHD0057,positive,0.999939188
abscisic acid,Organic acids,Staphylococcus sp. URHA0057,undefined,0.999998868
abscisic acid,Organic acids,Streptomyces sp. URHA0041,positive,0.938722927
abscisic acid,Organic acids,Variovorax sp. URHB0020,positive,0.999999957
adenine,Nucleotides,Acidobacteriaceae bacterium URHE0068,positive,0.834872948
adenine,Nucleotides,Bacillus sp. URHB0009,negative,0.994348463
adenine,Nucleotides,Blastococcus sp. URHD0036,undefined,0.93921585
adenine,Nucleotides,Bradyrhizobium sp. URHA0002,positive,0.889422956
adenine,Nucleotides,Bradyrhizobium sp. URHA0013,positive,0.953402499
adenine,Nucleotides,Bradyrhizobium sp. URHD0069,positive,0.641459686
adenine,Nucleotides,Burkholderia sp. URHA0054,positive,0.998077508
adenine,Nucleotides,Caulobacter sp. URHA0033,positive,0.968506636
adenine,Nucleotides,Cellulomonas sp. URHD0024,undefined,0.994047968
adenine,Nucleotides,Cellulomonas sp. URHE0023,undefined,0.999999546
adenine,Nucleotides,Comamonadaceae bacterium URHA0028,positive,0.997880452
adenine,Nucleotides,Dongia sp. URHE0060,positive,0.608084023
adenine,Nucleotides,Flavobacterium sp. URHB0058,undefined,0.999950168
adenine,Nucleotides,Geodermatophilaceae bacterium URHA0031,negative,0.956955216
adenine,Nucleotides,Geodermatophilaceae bacterium URHB0048,negative,0.99590801
adenine,Nucleotides,Geodermatophilaceae bacterium URHB0062,negative,0.996323981
adenine,Nucleotides,Intrasporangiaceae bacterium URHB0013,undefined,0.999268083
adenine,Nucleotides,Lysobacter sp. URHA0019,undefined,0
adenine,Nucleotides,Marmoricola sp. URHB0036,undefined,0.924626726
adenine,Nucleotides,Mesorhizobium sp. URHA0056,positive,0.99986305
adenine,Nucleotides,Mesorhizobium sp. URHB0007,positive,0.990315049
adenine,Nucleotides,Mesorhizobium sp. URHC0008,positive,0.900099024
adenine,Nucleotides,Microbacterium sp. URHA0036,undefined,0.99999863
adenine,Nucleotides,Micromonosporaceae bacterium URHE0070,negative,0.884807333
adenine,Nucleotides,Mycobacterium sp. URHB0044,positive,0.931065046
adenine,Nucleotides,Mycobacterium sp. URHD0025,positive,0.938233702
adenine,Nucleotides,Nocardioides sp. URHA0020,undefined,0.939505884
adenine,Nucleotides,Nocardioides sp. URHA0032,undefined,0.990340628
adenine,Nucleotides,Paenibacillus sp. URHA0014,negative,0.999885033
adenine,Nucleotides,Pseudomonas sp. URHB0015,positive,0.992346575
adenine,Nucleotides,Rhodospirillales bacterium URHD0017,positive,0.730394703
adenine,Nucleotides,Rhodospirillales bacterium URHD0088,undefined,0.843874116
adenine,Nucleotides,Solirubrobacter sp. URHD0082,negative,0.978655228
adenine,Nucleotides,Solirubrobacterales bacterium URHD0059,negative,0.551510101
adenine,Nucleotides,Sphingomonas sp. URHD0007,positive,0.993542155
adenine,Nucleotides,Sphingomonas sp. URHD0057,positive,0
adenine,Nucleotides,Staphylococcus sp. URHA0057,undefined,0.999990524
adenine,Nucleotides,Streptomyces sp. URHA0041,positive,0.974928095
adenine,Nucleotides,Variovorax sp. URHB0020,positive,0.995925931
adenosine,Nucleotides,Acidobacteriaceae bacterium URHE0068,positive,0.654866462
adenosine,Nucleotides,Bacillus sp. URHB0009,negative,0.9973971
adenosine,Nucleotides,Blastococcus sp. URHD0036,undefined,0.867789273
adenosine,Nucleotides,Bradyrhizobium sp. URHA0002,positive,0.713990046
adenosine,Nucleotides,Bradyrhizobium sp. URHA0013,positive,0.831634649
adenosine,Nucleotides,Bradyrhizobium sp. URHD0069,positive,0.41900619
adenosine,Nucleotides,Burkholderia sp. URHA0054,positive,0.995487223
adenosine,Nucleotides,Caulobacter sp. URHA0033,positive,0.946634808
adenosine,Nucleotides,Cellulomonas sp. URHD0024,undefined,0.967413522
adenosine,Nucleotides,Cellulomonas sp. URHE0023,undefined,0.999956145
adenosine,Nucleotides,Comamonadaceae bacterium URHA0028,positive,0.968334254
adenosine,Nucleotides,Dongia sp. URHE0060,positive,0.387905356
adenosine,Nucleotides,Flavobacterium sp. URHB0058,undefined,0.999364769
adenosine,Nucleotides,Geodermatophilaceae bacterium URHA0031,negative,0.89505147
adenosine,Nucleotides,Geodermatophilaceae bacterium URHB0048,negative,0.980574817
adenosine,Nucleotides,Geodermatophilaceae bacterium URHB0062,negative,0.990097071
adenosine,Nucleotides,Intrasporangiaceae bacterium URHB0013,undefined,0.992172493
adenosine,Nucleotides,Lysobacter sp. URHA0019,undefined,0
adenosine,Nucleotides,Marmoricola sp. URHB0036,undefined,0.78330248
adenosine,Nucleotides,Mesorhizobium sp. URHA0056,positive,0.995638614
adenosine,Nucleotides,Mesorhizobium sp. URHB0007,positive,0.927171604
adenosine,Nucleotides,Mesorhizobium sp. URHC0008,positive,0.738556166
adenosine,Nucleotides,Microbacterium sp. URHA0036,undefined,0.999951567
adenosine,Nucleotides,Micromonosporaceae bacterium URHE0070,negative,0.729203983
adenosine,Nucleotides,Mycobacterium sp. URHB0044,positive,0.880732003
adenosine,Nucleotides,Mycobacterium sp. URHD0025,positive,0.895211317
adenosine,Nucleotides,Nocardioides sp. URHA0020,undefined,0.811121872
adenosine,Nucleotides,Nocardioides sp. URHA0032,undefined,0.944412428
adenosine,Nucleotides,Paenibacillus sp. URHA0014,negative,0.999200756
adenosine,Nucleotides,Pseudomonas sp. URHB0015,positive,0.998136766
adenosine,Nucleotides,Rhodospirillales bacterium URHD0017,positive,0.501937724
adenosine,Nucleotides,Rhodospirillales bacterium URHD0088,undefined,0.628651112
adenosine,Nucleotides,Solirubrobacter sp. URHD0082,negative,0.88847397
adenosine,Nucleotides,Solirubrobacterales bacterium URHD0059,negative,0.348115579
adenosine,Nucleotides,Sphingomonas sp. URHD0007,positive,0.940255192
adenosine,Nucleotides,Sphingomonas sp. URHD0057,positive,0
adenosine,Nucleotides,Staphylococcus sp. URHA0057,undefined,0.999991372
adenosine,Nucleotides,Streptomyces sp. URHA0041,positive,0.936519758
adenosine,Nucleotides,Variovorax sp. URHB0020,positive,0.962933776
alanine,Amino acids,Acidobacteriaceae bacterium URHE0068,positive,0.997260479
alanine,Amino acids,Bacillus sp. URHB0009,negative,0.98653978
alanine,Amino acids,Blastococcus sp. URHD0036,undefined,0.986005799
alanine,Amino acids,Bradyrhizobium sp. URHA0002,positive,0.999931088
alanine,Amino acids,Bradyrhizobium sp. URHA0013,positive,0.99997197
alanine,Amino acids,Bradyrhizobium sp. URHD0069,positive,0.999999271
alanine,Amino acids,Burkholderia sp. URHA0054,positive,0.999106838
alanine,Amino acids,Caulobacter sp. URHA0033,positive,0.974217463
alanine,Amino acids,Cellulomonas sp. URHD0024,undefined,0.999906277
alanine,Amino acids,Cellulomonas sp. URHE0023,undefined,1
alanine,Amino acids,Comamonadaceae bacterium URHA0028,positive,0.999999904
alanine,Amino acids,Dongia sp. URHE0060,positive,0.999999982
alanine,Amino acids,Flavobacterium sp. URHB0058,undefined,0.999998442
alanine,Amino acids,Geodermatophilaceae bacterium URHA0031,negative,0.992235317
alanine,Amino acids,Geodermatophilaceae bacterium URHB0048,negative,0.999712978
alanine,Amino acids,Geodermatophilaceae bacterium URHB0062,negative,0.998617207
alanine,Amino acids,Intrasporangiaceae bacterium URHB0013,undefined,0.999996848
alanine,Amino acids,Lysobacter sp. URHA0019,undefined,0.999999975
alanine,Amino acids,Marmoricola sp. URHB0036,undefined,0.999446829
alanine,Amino acids,Mesorhizobium sp. URHA0056,positive,0.999999927
alanine,Amino acids,Mesorhizobium sp. URHB0007,positive,0.999999846
alanine,Amino acids,Mesorhizobium sp. URHC0008,positive,0.999748693
alanine,Amino acids,Microbacterium sp. URHA0036,undefined,0.999999993
alanine,Amino acids,Micromonosporaceae bacterium URHE0070,negative,0.998174639
alanine,Amino acids,Mycobacterium sp. URHB0044,positive,0.961513365
alanine,Amino acids,Mycobacterium sp. URHD0025,positive,0.962836793
alanine,Amino acids,Nocardioides sp. URHA0020,undefined,0.999562223
alanine,Amino acids,Nocardioides sp. URHA0032,undefined,0.999974483
alanine,Amino acids,Paenibacillus sp. URHA0014,negative,0.999992191
alanine,Amino acids,Pseudomonas sp. URHB0015,positive,0.976829106
alanine,Amino acids,Rhodospirillales bacterium URHD0017,positive,0.999999862
alanine,Amino acids,Rhodospirillales bacterium URHD0088,undefined,0.999999998
alanine,Amino acids,Solirubrobacter sp. URHD0082,negative,0.999998078
alanine,Amino acids,Solirubrobacterales bacterium URHD0059,negative,0.999796772
alanine,Amino acids,Sphingomonas sp. URHD0007,positive,0.999998771
alanine,Amino acids,Sphingomonas sp. URHD0057,positive,0.999999963
alanine,Amino acids,Staphylococcus sp. URHA0057,undefined,0.999982081
alanine,Amino acids,Streptomyces sp. URHA0041,positive,0.994811297
alanine,Amino acids,Variovorax sp. URHB0020,positive,0.99999873
alpha-ketoglutaric acid ,Organic acids,Acidobacteriaceae bacterium URHE0068,positive,0.539724147
alpha-ketoglutaric acid ,Organic acids,Bacillus sp. URHB0009,negative,0.992306268
alpha-ketoglutaric acid ,Organic acids,Blastococcus sp. URHD0036,undefined,0.702286335
alpha-ketoglutaric acid ,Organic acids,Bradyrhizobium sp. URHA0002,positive,0.999922518
alpha-ketoglutaric acid ,Organic acids,Bradyrhizobium sp. URHA0013,positive,0.999961038
alpha-ketoglutaric acid ,Organic acids,Bradyrhizobium sp. URHD0069,positive,0.999998588
alpha-ketoglutaric acid ,Organic acids,Burkholderia sp. URHA0054,positive,0.999416053
alpha-ketoglutaric acid ,Organic acids,Caulobacter sp. URHA0033,positive,0.97688471
alpha-ketoglutaric acid ,Organic acids,Cellulomonas sp. URHD0024,undefined,0.740672616
alpha-ketoglutaric acid ,Organic acids,Cellulomonas sp. URHE0023,undefined,0.98142746
alpha-ketoglutaric acid ,Organic acids,Comamonadaceae bacterium URHA0028,positive,0.999999925
alpha-ketoglutaric acid ,Organic acids,Dongia sp. URHE0060,positive,0.995241494
alpha-ketoglutaric acid ,Organic acids,Flavobacterium sp. URHB0058,undefined,0.999999509
alpha-ketoglutaric acid ,Organic acids,Geodermatophilaceae bacterium URHA0031,negative,0.968145903
alpha-ketoglutaric acid ,Organic acids,Geodermatophilaceae bacterium URHB0048,negative,0.940197872
alpha-ketoglutaric acid ,Organic acids,Geodermatophilaceae bacterium URHB0062,negative,0.992177724
alpha-ketoglutaric acid ,Organic acids,Intrasporangiaceae bacterium URHB0013,undefined,0.999879959
alpha-ketoglutaric acid ,Organic acids,Lysobacter sp. URHA0019,undefined,0.999985755
